region;nr;ausfuehrung;ort;seit;anmerkung;lage
Saarland;;Bachem;2024;Initiiert vom Jugendrotkreuz in Kooperation mit dem Ortsrat und einigen ehrenamtlichen Helferinnen und Helfern;⊙Am Friedhof neben der Kirche: Gartenstraße 4;
Saarland;;Beckingen;;initiiert vom Ortsrat in Kooperation mit der KÖB Beckingen und der Gemeinde Beckingen.Öffnungszeiten: Montag–Samstag von 8–20 Uhr;⊙Parkstraße 3;
Saarland;;Blieskastel;2016;;⊙Haus des Bürgers, Luitpoldplatz 5;
Saarland;;Bübingen;;Verschenkeschrank, nicht nur für Bücher, jederzeit zugänglich;⊙Ecke Sandweg/Gartenstraße, Bübingen;
Saarland;;Bübingen;;Verschenkeschrank 2, nicht nur für Bücher, jederzeit zugänglich;⊙Saargemünder Straße, Bübingen;
Saarland;;Dirmingen;;Bücherschrank im Naherholungsgebiet Dirmingen;LageNaherholungsgebiet Finkenrech;
Saarland;;Einöd;;Apostelkirche – Prot. Kirchengemeinde Einödjederzeit zugänglich;⊙Hauptstraße 52;
Saarland;;Emmersweiler;;Offenes Bücherregal Warndt, jederzeit zugänglich;⊙Lothringer Str. 6;
Saarland;;Ensdorf;2019;Medienzelle, errichtet vom AWO Ortsverein mit Unterstützung der Gemeinde Ensdorf und der Aktion Mensch. Als Inhalt auch andere Medien möglich (CDs, DVDs, VHS-Kassetten, Hörbücher). Die Medienzelle ist rund um die Uhr geöffnet, daneben befindet sich eine passende Sitzbank zum Schmökern.;⊙Marktplatz Ensdorf/Saar[1][2][3];
Saarland;;Heusweiler-Wahlschied;;jederzeit zugänglich;⊙Friedhofstraße, am Dorfplatz[4];
Saarland;;Eppelborn-Habach;;jederzeit zugänglich;⊙Großwaldstraße, neben dem Bürgerhaus;
Saarland;;Furschweiler;27. Apr. 2025;initiiert vom Kirchbauverein und dem KirchengemeinderatSt. Anna Furschweiler, jederzeit zugänglich;⊙neben der katholischen PfarrkircheSt. Annain der Freisener Straße;
Saarland;;Gresaubach;2022;Historischer Verein Gresaubach – zu den Öffnungszeiten der KSK zugänglich[5];⊙im Gebäude der Kreissparkasse, Lebacher Straße 2;
Saarland;;Gronig;2017;;⊙Dorfgemeinschaftshaus[6];
Saarland;;Haustadt;10. Apr. 2024;Aufstellung durch den Ortsrat, jederzeit zugänglich;⊙Oppener Ecken, gegenüber Sparkasse;
Saarland;;Hirstein;2021;jederzeit zugänglich;⊙Feuerwehrhaus;
Saarland;;Homburg;2013;Öffnungszeiten der Kreisverwaltung;⊙Kreisverwaltung Saarpfalz-Kreis, Am Forum 1;
Saarland;;Homburg;2015;;⊙Bushaltestelle Christian-Weber-Platz, Talstraße 23;
Saarland;;Illingen;2012;jederzeit zugänglich;⊙Arbeiter-Samariter-Bund, Poststraße 7;
Saarland;;Leitersweiler;;jederzeit zugänglich;⊙vor der Kirche St. Petrus zu Leitersweiler, Oberdorfstraß 1;
Saarland;;Merchweiler;2021;durchgehend geöffnet;⊙Allenfeldstraße 3, auf dem Parkplatz der Bergapotheke[7];
Saarland;;Neunkirchen;;Öffnungszeiten des Zoos Neunkirchen;⊙imZoo Neunkirchen, in der Nähe der Zoo-Schule;
Saarland;;Neunkirchen;Apr. 2021;initiiert und betreut von der Bürgerinitiative Stadtmitte[8];⊙Neuer Markt;
Saarland;;Perl;2013;Öffnungszeiten wie Rathaus[9];⊙im Perler Rathaus, Trierer Straße 28;
Saarland;;Püttlingen;;Aufgestellt von den Jusos Püttlingen;⊙Nahe der Grundschule Viktoria;
Saarland;;Rubenheim;2018;"Schrank in alter Bushaltestelle; Richtung Rubenheimer Weiher mit Sitzmöglichkeit";⊙Wittersheimerstraße;
Saarland;;Saarbrücken;2011;Öffnungszeiten des Theaters;⊙im Theater im Viertel, Landwehrplatz 2;
Saarland;;Saarbrücken;2011;Öffnungszeiten des AStA;⊙im AStA, Universität, Gebäude A5.2;
Saarland;;Saarbrücken;2011;Öffnungszeiten des Cafés;⊙im Café der KHG, Universität, Gebäude A3.1;
Saarland;;Saarbrücken;2013;Öffnungszeiten des Cafés;⊙im Kulturcafé, Burbacher Straße 20;
Saarland;;Saarbrücken;2015;Der Bücherschrank sollte Anfang 2016 entfernt werden.[10]Durch einen Kauf durch die Aufbaugesellschaft Saarbrücker Schloss, einer Tochter des Regionalverbands, konnte die Telefonzelle gerettet werden.[11];⊙Schlossplatz, Am Schlossberg 3;
Saarland;;Saarbrücken;;Öffnungszeiten des Cafés;⊙im Café Kostbar, Nauwieserstraße 19;
